nicho,cidade,nome,Endereço,Telefone,Website,Tipo,nota,reviews,Descricao,Latitude,Longitude
Automação predial,Rio de Janeiro,Delmak - Automação Residencial e Comercial no Rio de Janeiro," · bl G Sala 201, Av. Ayrton Senna, 2150",(21) 97259-3939,http://www.delmak.com.br/,Empresa de automação de casas,5.0,20,N/A,N/A,N/A
Automação predial,Rio de Janeiro,"RBT - Automação Residencial, Câmeras de Segurança"," · Praia de Botafogo, 370",(21) 99834-1969,https://www.rbttecnologia.com.br/automacao-predial/,Circuito fechado de TV,5.0,53,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Descomplica Soluções Técnicas,N/A,(21) 96817-7745,https://www.descomplicasolutec.com.br/,Empresa de automação de casas,5.0,2,N/A,N/A,N/A
Automação predial,Rio de Janeiro,MS Serviços Técnicos,N/A,(21) 98179-2195,https://msservtec.com.br/,Empresa de Automação Empresarial,5.0,2,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Cetem Automação,N/A,(21) 3283-8140,http://cetemrj.com.br/,Empresa,4.9,10,N/A,N/A,N/A
Automação predial,Rio de Janeiro,PD7 Tech," · R. Riachuelo, 130",0800 580 7017,http://www.pd7.com.br/,Empresa de Automação Empresarial,4.8,23,N/A,N/A,N/A
Automação predial,Rio de Janeiro,MS Segurança Eletrônica,N/A,(21) 97014-3212,https://mssegurancaeletron5.wixsite.com/ms-seguran-a-eletron,Empresa de automação de casas,4.7,47,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Grupo Automa Rio | Automação Comercial e informática," · Av. Alm. Júlio de Sá Bierrenbach, 65 - Bloco 2, Sala 605",(21) 3952-6415,http://www.grupoautomario.com.br/,Empresa de Automação Empresarial,5.0,18,N/A,N/A,N/A
Automação predial,Rio de Janeiro,TH Technology,N/A,(21) 97893-5101,https://th-technology-home-automation-company.negocio.site/?utm_source=gmb&utm_medium=referral,Empresa de automação de casas,5.0,1,N/A,N/A,N/A
Automação predial,Rio de Janeiro,AMK Tecnologia e Serviços,N/A,(21) 97922-6154,https://www.instagram.com/amktecnologia,Serviço de segurança,5.0,2,N/A,N/A,N/A
Automação predial,Rio de Janeiro,D&A Automação Comercial,N/A,(21) 3274-7529,http://www.deaautomacao.com.br/,Empresa de Automação Empresarial,4.4,7,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Elétrica Fina Soluções em Instalações Elétricas e Automação,N/A,(21) 97553-7643,N/A,Empresa de Automação Empresarial,5.0,11,N/A,N/A,N/A
Automação predial,Rio de Janeiro,E-Vertical," · Av. Júlio de Sá Bierrenbach, 65",(21) 2303-1175,http://www.evertical.com.br/,Empresa de Automação Empresarial,0.0,0,N/A,N/A,N/A
Automação predial,Rio de Janeiro,myio,N/A,N/A,http://myio.com.br/,Empresa de Software,4.0,2,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Lopor Engenharia,N/A,(21) 98179-3879,https://www.lopor.com.br/,Serviço de instalação elétrica,4.9,12,N/A,N/A,N/A
Automação predial,Rio de Janeiro,Elite Integration Technology,N/A,(21) 2232-4040,http://www.eliteintegration.com.br/,Empresa de automação de casas,0.0,0,N/A,N/A,N/A
Automação predial,Rio de Janeiro,MAJTec Serviços,N/A,(21) 98253-1417,https://www.majtecservicos.com.br/,Serviço de instalação de sistema de segurança,5.0,30,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,SMHRF - Secretaria Municipal de Habitação e Regularização Fundiária,N/A,(21) 2613-3988,http://www.niteroi.rj.gov.br/,Prefeitura,2.0,3,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,METRO REGULARIZAÇÃO IMOBILIÁRIA E FUNDIÁRIA,N/A,(21) 96958-7602,https://metrorif.com.br/,Assistência jurídica,0.0,0,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Coordenadoria de Acessibilidade de Niterói," · Prédio da Rodoviária Roberto Silveira, Praça Fonseca Ramos, S/N",(21) 2613-6610,http://www.facebook.com/acessibilidadeniteroi,Repartição pública,3.0,1,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Instituto de Terras e Cartografia do Estado do Rio de Janeiro,N/A,(21) 2332-7232,http://www.iterj.rj.gov.br/iterj_site/,Escritório do Governo do Estado,3.6,31,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Regulariza Portal | Regularização de CPF," · R. da Quitanda, 86",(21) 4104-0221,https://regularizaportal.com.br/,Planejador financeiro,4.8,6,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Secretaria de Urbanismo e Regularização Fundiária,N/A,N/A,http://www.guapimirim.rj.gov.br/urbanismo,Repartição pública,5.0,3,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,"Secretaria Municipal de Habitação, Regularização Fundiária e Agricultura",N/A,(24) 3352-1439,http://www.itatiaia.rj.gov.br/,Repartição pública,5.0,3,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Secretaria De Habitação E Regularização Fundiária (Sehab)," · R. Cidade de Santos, 222",(12) 3892-6568,N/A,Prefeitura,4.3,7,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,6ª GRLF - Gerência Regional de Licenciamento e Fiscalização - SMF," · R. Santa Fé, 50",N/A,N/A,Prestador de serviços públicos,3.0,2,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Programa Estadual de Regularização Fundiária – PROGRAMA MINHA TERRA,N/A,(11) 5067-0000,N/A,Prefeitura,0.0,0,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,InCidade Regularização Fundiária LTDA,N/A,(11) 4521-8563,http://www.incidade.com.br/,Escritório de Arquitetura,5.0,3,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,UFF - Núcleo de Estudos e Projetos Habitacionais e Urbanos,N/A,(21) 2629-2471,http://nephu.sites.uff.br/,Centro de estudos,5.0,2,N/A,N/A,N/A
Regularização fundiária,Rio de Janeiro,Regularização Fundiária,N/A,(32) 98845-4985,https://regularizacaofundiariamg.com.br/,Imobiliária,0.0,0,N/A,N/A,N/A
georreferenciamento rural,Rio de Janeiro,Mensurar Jr,N/A,(21) 97139-4936,https://www.mensurarjunior.com/,Empresa de topografia,4.4,13,N/A,N/A,N/A
georreferenciamento rural,Rio de Janeiro,SOUZA JR Geomensura,N/A,(22) 98131-3440,https://www.souzajrtopografia.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13755218525658464541,Empresa de topografia,5.0,2,N/A,N/A,N/A
georreferenciamento rural,Rio de Janeiro,Rural Map Georreferenciamento de Imoveis Rurais," · Prç. Dr. Gouveia, 156",(35) 99244-5959,N/A,Escritório da empresa,4.5,2,N/A,N/A,N/A
georreferenciamento rural,Rio de Janeiro,MTH2 Topografia,N/A,(21) 96753-3019,https://www.mth2topografia.com/,Empresa de topografia,5.0,10,N/A,N/A,N/A
georreferenciamento rural,Rio de Janeiro,Rural Consultoria | Análise de Solo e Consultoria Agrícola,N/A,(21) 97440-4313,https://ruralconsultoriajr.com.br/,Consultor ambiental,5.0,50,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Jordão Energia,N/A,(21) 2413-5743,N/A,Consultoria em engenharia,4.8,16,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,"Ambio | Consultoria, Engenharia Ambiental e Eficiência Energética"," · Av. Princesa Isabel, 323",(21) 3734-4797,http://www.ambiopar.com.br/,Consultoria em engenharia,3.9,15,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Elétron Eficiência Energética," · Av. Marquês do Paraná, 191/805",(21) 3254-8533,http://eletroneficiencia.com.br/,Consultoria em engenharia,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Energia Alternativa do Rio de Janeiro Serviços Ltda,N/A,(21) 3066-9182,N/A,Engenheiro mecânico,5.0,1,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Jordão Energia," · Av. Rio Branco, 120 - Grupo 830",(21) 2413-5743,https://www.jordaoenergia.com.br/,Consultoria em engenharia,4.8,16,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,LL Freire Eficiencia Energetica & Consultoria LTDA- ME,N/A,(21) 96403-1744,https://frerenegocios.com.br/,Equipamentos e soluções de energia,5.0,1,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Energy BI," · R. do Bpo., 323 - Apt. 201",(21) 2283-4475,http://energybi.com.br/,Equipamentos e soluções de energia,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,ECCO Energia," · Rua Humaitá, 85 - 4º andar",(21) 96954-2395,N/A,Consultoria empresarial,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,4E Eficiencia Energetica," · Av. João Cabral de Mello Neto, 850 - Torre West 1104",(21) 99613-3309,https://www.4energia.com.br/,Equipamentos e soluções de energia,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,SEE SOLUÇÃO EFICIÊNCIA ENERGÉTICA,N/A,(21) 99106-4656,N/A,Fabricante,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Tesla Jr," · Rua Passo da Pátria, 156 Bloco D, Sala 331-A",(21) 99732-9418,http://www.teslajunior.com.br/,Consultoria em engenharia,5.0,10,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,BRA + Engenharia de Eficiência Energética,N/A,(21) 97929-0094,N/A,Fornecedor de equipamentos a energia solar,5.0,11,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Áthomo Energy Tecnologia Ambiental," · Av. Alm. Júlio de Sá Bierrenbach, 65 - sala 613 e 614",(21) 97322-4339,https://azume.com.br/institucional/athomoenergy,Empresa de energia solar,3.7,3,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Helexia - Brazil - Rio de Janeiro," · R. Visc. de Ouro Preto, 5 - 10 andar",(21) 4042-2448,https://www.helexia.com.br/,Equipamentos e soluções de energia,5.0,13,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,CAMPOS ENERGIA," · R. Visc. de Itabaiana, 78",(21) 96500-6500,https://camposenergia.com.br/,Empresa de energia solar,5.0,1,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,EcoGov,N/A,(21) 98849-2283,https://www.ecogov.com.br/,Serviço de consultoria em energia,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,GRID ELETRICA E CONSULTORIA LTDA,N/A,(21) 99502-3601,http://www.grideletrica.com.br/,Serviço de instalação elétrica,5.0,1,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,DEV Solar Eficiência Energética,N/A,(21) 99967-7722,https://www.lp.devsolar.com.br/,Empresa de energia solar,5.0,8,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,terra nova eficiência energética consultoria em engenharia,N/A,(21) 99633-5352,N/A,Engenheiro,0.0,0,N/A,N/A,N/A
Consultoria de eficiência energética,Rio de Janeiro,Know How Eficiência Energética," · Península Office - Av. João Cabral de Mello Neto, 610 - sala 1308",(21) 96716-0169,http://www.knowhoweficiencia.com.br/,Complexo residencial,0.0,0,N/A,N/A,N/A
